6239 = number of voxels
82 = number of ROIs
X-MNI,Y-MNI,Z-MNI,Lobe,Structure,Brodmann area,ROI-number [1...0] (if zero then not included in any ROI)
10,20,-15,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 25,28
10,25,-15,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 11,28
10,30,-15,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 25,28
10,65,-15,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 11,26
15,-95,-15,Occipital Lobe,Lingual Gyrus,Brodmann area 17,48
15,-85,-15,Occipital Lobe,Lingual Gyrus,Brodmann area 18,48
15,-80,-15,Occipital Lobe,Lingual Gyrus,Brodmann area 18,48
15,-10,-15,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 28,38
15,-5,-15,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 28,38
15,0,-15,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 34,40
15,5,-15,Frontal Lobe,Subcallosal Gyrus,Brodmann area 34,42
15,15,-15,Frontal Lobe,Subcallosal Gyrus,Brodmann area 47,28
15,20,-15,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,28
15,25,-15,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,6
15,30,-15,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,6
15,50,-15,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 11,6
15,55,-15,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 11,6
15,65,-15,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 11,6
20,-95,-15,Occipital Lobe,Inferior Occipital Gyrus,Brodmann area 17,48
20,-90,-15,Occipital Lobe,Inferior Occipital Gyrus,Brodmann area 18,48
20,-80,-15,Occipital Lobe,Lingual Gyrus,Brodmann area 18,56
20,-75,-15,Occipital Lobe,Lingual Gyrus,Brodmann area 18,56
20,-40,-15,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 36,56
20,-35,-15,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 35,56
20,-30,-15,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 35,40
20,-25,-15,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 35,40
20,-20,-15,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 35,40
20,-15,-15,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 28,38
20,0,-15,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 34,42
20,5,-15,Frontal Lobe,Subcallosal Gyrus,Brodmann area 34,42
20,15,-15,Frontal Lobe,Subcallosal Gyrus,Brodmann area 47,28
20,25,-15,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,6
20,40,-15,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,6
20,50,-15,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 11,6
20,55,-15,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 11,6
20,60,-15,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 11,10
20,65,-15,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 11,10
25,-90,-15,Occipital Lobe,Inferior Occipital Gyrus,Brodmann area 18,48
25,-85,-15,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 18,56
25,-80,-15,Occipital Lobe,Lingual Gyrus,Brodmann area 18,56
25,-75,-15,Occipital Lobe,Lingual Gyrus,Brodmann area 18,56
25,-70,-15,Occipital Lobe,Fusiform Gyrus,Brodmann area 19,56
25,-65,-15,Occipital Lobe,Fusiform Gyrus,Brodmann area 19,56
25,-60,-15,Occipital Lobe,Fusiform Gyrus,Brodmann area 19,56
25,-55,-15,Occipital Lobe,Fusiform Gyrus,Brodmann area 19,56
25,-50,-15,Occipital Lobe,Parahippocampal Gyrus,Brodmann area 37,56
25,-45,-15,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 37,56
25,-40,-15,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 36,56
25,-35,-15,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 36,56
25,-30,-15,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 36,56
25,5,-15,Frontal Lobe,Subcallosal Gyrus,Brodmann area 34,42
25,15,-15,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,30
25,25,-15,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,16
25,30,-15,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,16
25,35,-15,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,16
25,40,-15,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,6
25,45,-15,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 11,10
25,50,-15,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 11,10
25,55,-15,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 11,10
25,60,-15,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 11,10
30,-85,-15,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 18,54
30,-70,-15,Occipital Lobe,Fusiform Gyrus,Brodmann area 19,56
30,-50,-15,Occipital Lobe,Fusiform Gyrus,Brodmann area 37,56
30,-45,-15,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 37,56
30,-40,-15,Temporal Lobe,Fusiform Gyrus,Brodmann area 37,56
30,-35,-15,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 36,56
30,15,-15,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 13,30
30,25,-15,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,16
30,30,-15,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,16
30,35,-15,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,16
30,40,-15,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,10
30,45,-15,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 11,10
30,50,-15,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 11,10
30,55,-15,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 11,10
35,-85,-15,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 18,54
35,-55,-15,Temporal Lobe,Fusiform Gyrus,Brodmann area 37,56
35,-50,-15,Temporal Lobe,Fusiform Gyrus,Brodmann area 37,56
35,-45,-15,Occipital Lobe,Fusiform Gyrus,Brodmann area 37,56
35,-40,-15,Temporal Lobe,Fusiform Gyrus,Brodmann area 37,56
35,-35,-15,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 36,40
35,5,-15,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,0
35,10,-15,Temporal Lobe,Inferior Frontal Gyrus,Brodmann area 13,30
35,15,-15,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,30
35,20,-15,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,30
35,30,-15,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,16
35,35,-15,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,16
35,40,-15,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,10
35,55,-15,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,10
40,-85,-15,Occipital Lobe,Inferior Occipital Gyrus,Brodmann area 18,54
40,-80,-15,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 18,54
40,-60,-15,Temporal Lobe,Fusiform Gyrus,Brodmann area 37,56
40,-55,-15,Temporal Lobe,Fusiform Gyrus,Brodmann area 37,56
40,-30,-15,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 36,56
40,5,-15,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,30
40,10,-15,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,30
40,15,-15,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,30
40,20,-15,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,16
40,25,-15,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,16
40,30,-15,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,16
40,35,-15,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,16
40,50,-15,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,10
45,-80,-15,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 18,54
45,-55,-15,Temporal Lobe,Fusiform Gyrus,Brodmann area 37,82
45,-50,-15,Temporal Lobe,Fusiform Gyrus,Brodmann area 37,82
45,10,-15,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,76
45,15,-15,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,76
45,20,-15,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,76
45,25,-15,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,16
45,30,-15,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,16
45,35,-15,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,16
45,40,-15,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,16
45,45,-15,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,16
50,-75,-15,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 19,54
50,-70,-15,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 19,54
50,-65,-15,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 37,54
50,-60,-15,Temporal Lobe,Fusiform Gyrus,Brodmann area 37,82
50,-55,-15,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,82
50,-50,-15,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,82
50,-45,-15,Temporal Lobe,Fusiform Gyrus,Brodmann area 37,82
50,-40,-15,Temporal Lobe,Fusiform Gyrus,Brodmann area 37,82
50,0,-15,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,78
50,5,-15,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,76
50,10,-15,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,76
50,15,-15,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,76
50,20,-15,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,76
50,25,-15,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,76
50,30,-15,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,16
55,-65,-15,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 37,82
55,-60,-15,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 37,82
55,-55,-15,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 37,82
55,-50,-15,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,82
55,-45,-15,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 20,82
55,-40,-15,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 20,82
55,-25,-15,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,82
55,5,-15,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,80
55,10,-15,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,76
55,15,-15,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,76
60,-60,-15,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 37,82
60,-55,-15,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 37,82
60,-50,-15,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 37,82
60,-45,-15,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 20,82
60,-40,-15,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,82
60,-30,-15,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,82
60,-25,-15,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,78
60,-20,-15,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,78
60,-15,-15,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,78
60,0,-15,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,78
60,5,-15,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,80
65,-45,-15,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,82
65,-40,-15,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,82
65,-35,-15,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,82
65,-30,-15,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,82
65,-25,-15,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,78
65,-20,-15,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,78
65,-15,-15,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,78
65,-10,-15,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,78
-65,-50,-10,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,77
-65,-45,-10,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,77
-65,-40,-10,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,77
-65,-35,-10,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,77
-65,-30,-10,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,77
-65,-25,-10,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,77
-65,-20,-10,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,77
-65,-15,-10,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,77
-65,-10,-10,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,77
-60,-65,-10,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 37,81
-60,-60,-10,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 37,81
-60,-55,-10,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 37,81
-60,-50,-10,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 37,81
-60,-45,-10,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 37,77
-60,-30,-10,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,77
-60,-25,-10,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,77
-60,-20,-10,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,77
-60,-15,-10,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,77
-55,-70,-10,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 19,53
-55,-65,-10,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 19,81
-55,-60,-10,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 37,81
-55,-55,-10,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 37,81
-55,-15,-10,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,77
-55,0,-10,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,73
-55,5,-10,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,73
-50,-60,-10,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 19,81
-50,-55,-10,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 37,81
-50,-5,-10,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 21,73
-50,0,-10,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,73
-50,15,-10,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,75
-50,20,-10,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,75
-50,25,-10,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,15
-50,30,-10,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,15
-50,40,-10,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,15
-50,45,-10,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,15
-45,-80,-10,Occipital Lobe,Inferior Occipital Gyrus,Brodmann area 19,53
-45,-75,-10,Occipital Lobe,Middle Occipital Gyrus,Brodmann area 19,53
-45,-45,-10,Temporal Lobe,Sub-Gyral,Brodmann area 37,81
-45,-20,-10,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 22,77
-45,-10,-10,Temporal Lobe,Sub-Gyral,Brodmann area 21,73
-45,0,-10,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 13,73
-45,5,-10,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,73
-45,10,-10,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,29
-45,15,-10,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,15
-45,20,-10,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,15
-45,25,-10,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,15
-45,30,-10,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,15
-45,35,-10,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,15
-45,40,-10,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 47,15
-45,45,-10,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,15
-45,50,-10,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,15
-40,-90,-10,Occipital Lobe,Inferior Occipital Gyrus,Brodmann area 18,53
-40,-85,-10,Occipital Lobe,Inferior Occipital Gyrus,Brodmann area 19,53
-40,-80,-10,Occipital Lobe,Inferior Occipital Gyrus,Brodmann area 19,53
-40,-75,-10,Occipital Lobe,Inferior Occipital Gyrus,Brodmann area 19,53
-40,-20,-10,Sub-lobar,Insula,Brodmann area 13,37
-40,-15,-10,Temporal Lobe,Sub-Gyral,Brodmann area 21,37
-40,-10,-10,Temporal Lobe,Sub-Gyral,Brodmann area 21,73
-40,-5,-10,Temporal Lobe,Sub-Gyral,Brodmann area 21,73
-40,0,-10,Temporal Lobe,Sub-Gyral,Brodmann area 13,29
-40,5,-10,Sub-lobar,Extra-Nuclear,Brodmann area 13,29
-40,10,-10,Sub-lobar,Extra-Nuclear,Brodmann area 13,29
-40,15,-10,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,29
-40,25,-10,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,15
-40,30,-10,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,15
-40,35,-10,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,15
-40,40,-10,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 47,15
-40,50,-10,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,15
-40,55,-10,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,15
-35,-85,-10,Occipital Lobe,Inferior Occipital Gyrus,Brodmann area 18,53
-35,-80,-10,Occipital Lobe,Inferior Occipital Gyrus,Brodmann area 19,53
-35,-45,-10,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 19,55
-35,-40,-10,Temporal Lobe,Fusiform Gyrus,Brodmann area 37,55
-35,10,-10,Sub-lobar,Extra-Nuclear,Brodmann area 13,29
-35,15,-10,Sub-lobar,Extra-Nuclear,Brodmann area 13,29
-35,20,-10,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,29
-35,30,-10,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,15
-35,35,-10,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,15
-35,40,-10,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,15
-35,55,-10,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,9
-35,60,-10,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,9
-30,-95,-10,Occipital Lobe,Inferior Occipital Gyrus,Brodmann area 18,53
-30,-50,-10,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 19,55
-30,-45,-10,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 19,55
-30,-40,-10,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 37,55
-30,15,-10,Sub-lobar,Extra-Nuclear,Brodmann area 13,29
-30,20,-10,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,29
-30,30,-10,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,15
-30,35,-10,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,15
-30,40,-10,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 47,9
-30,45,-10,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,9
-30,50,-10,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,9
-30,55,-10,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 10,9
-30,60,-10,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 11,9
-25,-95,-10,Occipital Lobe,Lingual Gyrus,Brodmann area 18,53
-25,-75,-10,Occipital Lobe,Lingual Gyrus,Brodmann area 19,55
-25,-55,-10,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 19,47
-25,-50,-10,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 19,47
-25,-45,-10,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 37,55
-25,-40,-10,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 36,55
-25,-30,-10,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 27,39
-25,-20,-10,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 28,37
-25,20,-10,Sub-lobar,Extra-Nuclear,Brodmann area 13,29
-25,25,-10,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,15
-25,30,-10,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,15
-25,35,-10,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,15
-25,40,-10,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,9
-25,45,-10,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,5
-25,50,-10,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 11,5
-25,55,-10,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 10,9
-25,60,-10,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 11,9
-20,-100,-10,Occipital Lobe,Lingual Gyrus,Brodmann area 18,53
-20,-80,-10,Occipital Lobe,Lingual Gyrus,Brodmann area 18,47
-20,-75,-10,Occipital Lobe,Lingual Gyrus,Brodmann area 18,47
-20,-70,-10,Occipital Lobe,Lingual Gyrus,Brodmann area 19,47
-20,-55,-10,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 19,47
-20,-50,-10,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 19,47
-20,-45,-10,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 19,55
-20,-40,-10,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 36,55
-20,-35,-10,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 35,39
-20,-30,-10,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 28,39
-20,-25,-10,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 28,37
-20,30,-10,Frontal Lobe,Inferior Frontal Gyrus,Brodmann area 47,5
-20,55,-10,Frontal Lobe,Middle Frontal Gyrus,Brodmann area 10,9
-20,60,-10,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 11,9
-20,65,-10,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 11,9
-15,-80,-10,Occipital Lobe,Lingual Gyrus,Brodmann area 18,47
-15,-75,-10,Occipital Lobe,Lingual Gyrus,Brodmann area 18,47
-15,-70,-10,Occipital Lobe,Lingual Gyrus,Brodmann area 18,47
-15,-65,-10,Occipital Lobe,Lingual Gyrus,Brodmann area 19,47
-15,-60,-10,Occipital Lobe,*,Brodmann area 19,47
-15,-45,-10,Limbic Lobe,Sub-Gyral,Brodmann area 19,47
-15,-40,-10,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 30,47
-15,-35,-10,Limbic Lobe,Parahippocampal Gyrus,Brodmann area 30,39
-15,60,-10,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 11,5
-15,65,-10,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 11,5
-10,-100,-10,Occipital Lobe,Lingual Gyrus,Brodmann area 18,43
-10,-80,-10,Occipital Lobe,Lingual Gyrus,Brodmann area 18,47
-10,-75,-10,Occipital Lobe,Lingual Gyrus,Brodmann area 18,47
-10,25,-10,Frontal Lobe,Subcallosal Gyrus,Brodmann area 11,21
-10,35,-10,Limbic Lobe,Anterior Cingulate,Brodmann area 32,25
-10,40,-10,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,25
-10,55,-10,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,25
-10,60,-10,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 10,25
-10,65,-10,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 11,25
-5,-95,-10,Occipital Lobe,Lingual Gyrus,Brodmann area 17,43
-5,-90,-10,Occipital Lobe,Lingual Gyrus,Brodmann area 17,43
-5,-85,-10,Occipital Lobe,Lingual Gyrus,Brodmann area 18,43
-5,-80,-10,Occipital Lobe,Lingual Gyrus,Brodmann area 18,47
-5,15,-10,Limbic Lobe,Anterior Cingulate,Brodmann area 25,21
-5,20,-10,Limbic Lobe,Anterior Cingulate,Brodmann area 32,21
-5,25,-10,Limbic Lobe,Anterior Cingulate,Brodmann area 32,21
-5,30,-10,Limbic Lobe,Anterior Cingulate,Brodmann area 32,25
-5,35,-10,Limbic Lobe,Anterior Cingulate,Brodmann area 32,25
-5,40,-10,Limbic Lobe,Anterior Cingulate,Brodmann area 32,25
-5,45,-10,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,25
-5,50,-10,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 11,25
-5,55,-10,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 11,25
-5,60,-10,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 11,25
-5,65,-10,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 11,25
0,-90,-10,Occipital Lobe,Lingual Gyrus,Brodmann area 18,43
0,5,-10,Limbic Lobe,Anterior Cingulate,Brodmann area 25,21
0,10,-10,Limbic Lobe,Anterior Cingulate,Brodmann area 25,21
0,15,-10,Limbic Lobe,Anterior Cingulate,Brodmann area 25,21
5,-95,-10,Occipital Lobe,Lingual Gyrus,Brodmann area 17,43
5,-90,-10,Occipital Lobe,Lingual Gyrus,Brodmann area 17,43
5,-85,-10,Occipital Lobe,Lingual Gyrus,Brodmann area 18,48
5,-80,-10,Occipital Lobe,Lingual Gyrus,Brodmann area 18,48
5,10,-10,Limbic Lobe,Anterior Cingulate,Brodmann area 25,0
5,15,-10,Limbic Lobe,Anterior Cingulate,Brodmann area 25,22
5,20,-10,Limbic Lobe,Anterior Cingulate,Brodmann area 32,22
5,25,-10,Limbic Lobe,Anterior Cingulate,Brodmann area 32,26
5,30,-10,Limbic Lobe,Anterior Cingulate,Brodmann area 32,26
5,35,-10,Limbic Lobe,Anterior Cingulate,Brodmann area 32,26
5,40,-10,Limbic Lobe,Anterior Cingulate,Brodmann area 32,26
5,45,-10,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 11,26
5,50,-10,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 11,26
5,55,-10,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 11,26
5,60,-10,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 11,26
5,65,-10,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 11,26
10,-100,-10,Occipital Lobe,Lingual Gyrus,Brodmann area 18,48
10,-80,-10,Occipital Lobe,Lingual Gyrus,Brodmann area 18,48
10,20,-10,Limbic Lobe,Anterior Cingulate,Brodmann area 32,22
10,25,-10,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 11,28
10,35,-10,Limbic Lobe,Anterior Cingulate,Brodmann area 32,26
10,40,-10,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,26
10,55,-10,Frontal Lobe,Medial Frontal Gyrus,Brodmann area 10,26
10,60,-10,Frontal Lobe,Superior Frontal Gyrus,Brodmann area 10,26
